PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Levarages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
78,1.2.1.2,"1,212",4,Insuffisance,insuffisance,Préjugé,Argument d'autorité,1,1.0,4.0,,,Appel au respect,16.0,Vous accordez de la valeur à une proposition parce qu'elle est soutenue par une personne réputée.,97.0,Ce gâteau doit être excellent puisqu'il s'agit d'une recette inventée par Albert Einstein.,90.0,https://fr.wikipedia.org/wiki/Argument_d%27autoritA13%A9,Insufficiency,Prejudice,Argument from Authority,Argument from respect,21.0,,"Grounding the validity of a proposition on the basis that a reputable, respected person or entity supports it.",110.0,This cake must be excellent since it was invented by Albert Einstein.,,69,https://en.wikipedia.org/wiki/Argument_from_authority,"il faudrait affiner les liens pour faire la différence d'avec argument d'autorité, sa mère.",ad verecundiam,,,"""Servir les vieillards est un devoir, servir ses égaux est une politesse, servir les jeunes est une humiliation.""",недостаток,Предрассудок,Воззвание к авторитету,Воззвание к уважению,"Вы придаете особое значение предложению, потому что оно было сделано человеком с непререкаемой репутацией. ","Это, должно быть, отличный пирог, потому что рецепт придумал Альберт Эйнштейн.  ",,Insuficiência,Preconceito,Argumento de Autoridade,Apelo ao respeito,Você valoriza uma proposição porque é apoiada por uma pessoa renomada.,"Este bolo deve ser excelente, já que é uma receita inventada por Albert Einstein.",,,,,,,,,,,,,,,,,,circle,,,,,1.212,4+
79,1.2.1.2.1,"1,2121",5,Insuffisance,insuffisance,Préjugé,Argument d'autorité,1,2.0,5.0,,,Argument d'accomplissement,26.0,Vous fondez la validité des propos de quelqu'un sur ses succès dans le domaine concerné.,88.0,Ton opinion sur la musique m'intéressera quand tu auras sorti un album !,72.0,,Insufficiency,Prejudice,Argument from Authority,Appeal to accomplishment,24.0,,Granting value to someone's claims on the basis of his or her achievements in the field being debated.,102.0,I'll listen to your opinions on music when you've released a record that went platinum.,,87,https://en.wikipedia.org/wiki/Appeal_to_accomplishment,"lien t. RMQ classif: cet argument est négatif mais ses enfants sont positifs. Devrions nous le redéfinir en positif? ie: il a réussi dans les affaires, il sera un bon ministre"" plutôt que d'exiger un ministre qui a réussi... ? ",,,,"Quand le sage désigne la lune, l'idiot regarde le doigt.""",недостаток,Предрассудок,Воззвание к авторитету,Аргумент к свершению,Ценность чьих-то слов вы рассматриваете в соответствии с его успехами. ,"Я прислушаюсь к твоему мнению о музыке, когда ты выпустишь альбом! ",,Insuficiência,Preconceito,Argumento de Autoridade,Argumento de realização,Você baseia a validade das declarações de alguém nos sucessos dessa pessoa no campo em questão.,Sua opinião sobre música me interessará quando você lançar um álbum!,,1,,,,,,,,,,,,,,,,circle,,,,,1.2121,4+
96,1.2.2,"1,22",3,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,1,2.0,,,,Sophisme naturaliste,20.0,"Vous considérez qu'une chose est meilleure simplement parce qu'elle est naturelle, sans prendre en compte d'autres facteurs importants.",135.0,L'être humain a toujours mangé de la viande ; être végétarien est donc contre nature.,85.0,https://fr.wikipedia.org/wiki/Paralogisme_naturaliste,Insufficiency,Prejudice,Naturalistic Fallacy,Naturalistic Fallacy,22.0,,"Believing that something is better simply because it is natural, without considering other important factors.",109.0,"Humans have always eaten meat; therefore, being vegetarian is considered against nature.",,88,https://en.wikipedia.org/wiki/Naturalistic_fallacy,"le darwinisme social. C'est la loi de l'évolution, seuls les plus forts survivent. Appliquer un principe naturel à l'économie est erroné et dangereux. ça irait où cet exemple? fausse analogie? appel à la nature?",,,,"""Les branches des arbres trop chargés se rompent.""        ",недостаток,Предрассудок,Натуралистическое заблуждение,Натуралистическое заблуждение,"Вы обосновываете предложение тем, что, якобы, оно соответствует природе и первоначальному положению вещей. ","Человек всегда ел мясо, так что быть вегетарианцем противоестественно. ",,Insuficiência,Preconceito,Naturalismo,Naturalismo,"Considerar que, uma vez que algo existe naturalmente como um fato, deve ser algo bom.","Os humanos sempre comeram carne; assim, ser vegetariano é considerado contrário à natureza.",,,,,,,,,,,,,,,,,,circle,,,,,1.22,3
98,1.2.2.2,"1,222",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,1,2.0,4.0,,,Raison de la majorité,21.0,Vous justifiez une position par le fait qu'elle est partagée par le plus grand nombre.,86.0,La plupart des enfants réclament tous les jours des frites à la cantine; c'est donc ce qu'il faudrait leur servir quotidiennement.,130.0,https://fr.wikipedia.org/wiki/Argumentum_ad_populum,Insufficiency,Prejudice,Naturalistic Fallacy,Appeal to the majority,22.0,,Grounding the validity of a proposition on the fact that many or most people agree with it.,91.0,"Most kids want fries every day at the cafeteria; therefore, that's what they should be served.",,94,https://en.wikipedia.org/wiki/Argumentum_ad_populum,lien t. lien avec common practice,ad populum,,,C'est pas parce qu'ils sont nombreux à avoir tort qu'ils ont raison. (Coluche),недостаток,Предрассудок,Натуралистическое заблуждение,Апелляция к большинству,"Вы оправдываете предложение, поскольку оно поддерживается большинством. ","Большинство детей требуют, чтобы каждый день в столовой была картошка фри; так что это и надо им подавать ежедневно. ",https://ru.wikipedia.org/wiki/Апелляция_к_большинству,Insuficiência,Preconceito,Naturalismo,Apelo à maioria,Fundamentar a validade de uma proposição no fato de que muitas ou a maioria das pessoas concordam com ela.,"A maioria das crianças quer batatas fritas todos os dias na cantina; então, isso é o que deveria ser servido.",,1,,,,,,,,,,,,,,,,circle,,,,,1.222,4+
104,1.2.2.3,"1,223",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,1,1.0,2.0,,,Appel à la tradition,20.0,Vous considérez une pratique comme correcte simplement parce qu'elle est traditionnelle.,88.0,La corrida a toujours existé en France; il serait donc stupide d'interdire cette pratique dans notre pays.,106.0,https://fr.wikipedia.org/wiki/Argumentum_ad_antiquitatem,Insufficiency,Prejudice,Naturalistic Fallacy,Appeal to tradition,19.0,,Supporting an opinion or practice on the basis of it being traditional.,71.0,Bullfighting has always been part of our culture; it would be foolish to ban this practice in our country.,,106,http://www.csun.edu/%7Edgw61315/fallacies.html#Argumentum%20ad%20antiquitatem,,Argumentum ad antiquitatem,,,"Le flatteur est proche parent du traître.""	",недостаток,Предрассудок,Натуралистическое заблуждение,Аргумент к традиции,"Валидность утверждения вы обосновываете тем, что оно освящено традицией.",Коррида всегда существовала во Франции; поэтому глупо запрещать эту практику в нашей стране.,https://studme.org/336718/ritorika/argument_traditsii,Insuficiência,Preconceito,Naturalismo,Apelo à tradição,Vocês apoiam uma opinião ou prática apenas pelo fato de ser tradicional.,A tourada sempre fez parte de nossa cultura; seria insensato proibir essa prática em nosso país.,,1,1.0,,,,,,,,,,,,,,,circle,,,,1.0,1.223,4+
105,1.2.2.3.1,"1,2231",5,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,2,1.0,2.0,,,Appel au précédent,18.0,"Vous argumentez que parce qu'un événement ne s'est jamais produit auparavant, il ne peut pas se produire à l'avenir.",116.0,"Aucun bâtiment de ce type n'a jamais résisté à un tremblement de terre de cette magnitude. Donc, il est impossible qu'il reste debout après un tel événement.",157.0,,Insufficiency,Prejudice,Naturalistic Fallacy,Appeal to Precedent,19.0,,"You argue that because an event has never occurred before, it cannot happen in the future. ",91.0,"No building of this kind has ever withstood an earthquake of this magnitude. Therefore, it is impossible for it to remain standing after such an event.",,151,https://rationalwiki.org/wiki/Draft:Appeal_to_precedent,,Argumentum ad antiquitatem,,,"Le flatteur est proche parent du traître.""	",недостаток,Предрассудок,Натуралистическое заблуждение,Аргумент к прецеденту,"Вы утверждаете, что поскольку какое-либо событие ранее не происходило, оно не может произойти и в будущем.","Ни одно здание такого типа никогда не выдерживало землетрясение такой мощности. Поэтому невозможно, чтобы оно осталось стоять после такого события.",https://studme.org/336718/ritorika/argument_traditsii,Insuficiência,Preconceito,Naturalismo,Apelo ao precedente,"Vocês argumentam que porque um evento nunca ocorreu antes, ele não pode acontecer no futuro.","Nenhum edifício deste tipo jamais resistiu a um sismo desta magnitude. Portanto, é impossível que permaneça de pé após um evento como este.",,1,,,,,,,,,,,,,,,,circle,,,,,1.2231,4+
108,1.2.2.4,"1,224",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,1,1.0,7.0,,argumentum ad naturam,Appel à la nature,17.0,"Vous supposez qu'une chose est bonne parce qu'elle est naturelle, ou mauvaise parce qu'elle n'est pas naturelle.",112.0,"Il est normal que chez les hommes, comme chez la plupart des animaux, les mâles dominent car ils sont plus forts et plus violents.",130.0,https://fr.wikipedia.org/wiki/Appel_à_la_nature,Insufficiency,Prejudice,Naturalistic Fallacy,Appeal to nature,16.0,"Biologizing, The Green Fallacy","Grounding one's argumentation on the assumption that anything natural is good, or that anything non-natural is bad.",115.0,"It's natural for men, like most animals, to dominate because they are stronger and more violent.",,96,"https://en.wikipedia.org/wiki/Appeal_to_nature
https://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm",,,,,,недостаток,Предрассудок,Натуралистическое заблуждение,Апелляция к природе,"Вы основываете ваше суждение на убеждении, что то, что естественно, является хорошим, и наоборот. ","Это естественно, что у большинства животных самцы доминируют, потому что они сильнее и жестче, так и в человеческом обществе доминируют мужчины.",https://ru.wikipedia.org/wiki/Апелляция_к_природе,Insuficiência,Preconceito,Naturalismo,Apelo à natureza,"Baseando a argumentação na suposição de que tudo o que é natural é bom, ou que tudo o que não é natural é ruim.","É natural que os homens, assim como na maioria dos animais, dominem porque são mais fortes e mais violentos.",,1,,,,,,,,,,,,,,,,circle,,,,,1.224,4+
112,1.2.3,"1,23",3,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,1,2.0,6.0,,,Sophisme moraliste,18.0,"Vous jugez certains faits comme vrais ou faux selon vos principes, et non sur la base d'une démonstration objective.",116.0,Ce sont des enfants innocents. Ils ne causeraient pas autant de problèmes à leurs parents.,90.0,,Insufficiency,Prejudice,Moralistic fallacy,Moralistic fallacy,18.0,,Judging facts to be true or false based on personal principles rather than on objective demonstration.,102.0,These are innocent children. They would not cause so much trouble for their parents.,,84,https://en.wikipedia.org/wiki/Moralistic_fallacy,,,,,"Œil pour œil, dent pour dent.""",недостаток,Предрассудок,Морализаторство,Морализаторство,"Вы считаете естественным то, что поддерживаете, и противоестественным то, что осуждаете.","Неверность безнравственна, поэтому противоестественно испытывать влечение к кому-то, кроме супруга. ",,Insuficiência,Preconceito,Sofisma Moralista,Sofisma Moralista,"Vocês julgam certos fatos como verdadeiros ou falsos segundo seus princípios, e não com base numa demonstração objetiva.",Essas são crianças inocentes; é impossível que elas causassem tantos problemas aos seus pais.,,,,,,,,,,,,,,,,,,circle,prêtre,,,,1.23,3
121,1.2.3.3.2,"1,2332",5,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,1,2.0,2.0,,,Politiquement correct,21.0,Vous rejetez ou détournez un argument au titre qu'il risque de heurter la sensibilité d'une partie de l'auditoire.,114.0,Ne cherchez pas d'explication du côté des croyances; la religion est affaire de conscience et ne doit donc jamais être critiquée.,129.0,https://fr.wikipedia.org/wiki/Politiquement_correct,Insufficiency,Prejudice,Moralistic fallacy,Political correctness,21.0,,Rejecting or diverting arguments for fear they may cause social or institutional offense.,89.0,Do not look for explanations in terms of beliefs; religion is a matter of conscience and therefore should never be criticized.,,126,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/141/Political-Correctness-Fallacy,,,,,"L'écureuil a beau être petit, il n'est pas l'esclave de l'éléphant.""        ",недостаток,Предрассудок,Морализаторство,Политкорректность,"Вы отвергаете аргумент, потому что он может задеть часть аудитории","Не пытайтесь объяснить это верованиями. Религия - это личное дело каждого, и ее нельзя критиковать. ",,Insuficiência,Preconceito,Sofisma Moralista,Correção Política,Rejeitar ou desviar argumentos por medo de que possam causar ofensa social ou institucional.,"Não procure explicações em termos de crenças; a religião é uma questão de consciência e, portanto, nunca deve ser criticada.",,1,,,,,,,,,,,,,,,,circle,,,,,1.2332,4+
128,1.2.3.5.1,"1,2351",5,Insuffisance,insuffisance,Préjugé,Sophisme moraliste,1,2.0,,,,Raison du plus riche,20.0,Vous pensez qu'une idée est valide seulement parce que celui qui la présente est riche.,87.0,"S'il avait tort, il n'en serait pas parvenu où il en est aujourd'hui.",69.0,https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam,Insufficiency,Prejudice,Moralistic fallacy,Appeal to wealth,16.0,,Concluding that a statement is correct because the speaker is rich,66.0,"If he were wrong, he wouldn't have reached where he is today.",,61,https://en.wikipedia.org/wiki/Argumentum_ad_crumenam,,Argumentum ad crumenam,,,,недостаток,Предрассудок,Морализаторство,Призыв к богатству,"Вы думаете, что идея верна только потому что человек, представляющий её, богат.","Если бы он не был прав, он бы не достиг того, что имеет сегодня.",,Insuficiência,Preconceito,Sofisma Moralista,Apelo à riqueza,Você pensa que uma ideia é válida apenas porque a pessoa que a apresenta é rica.,"Se ele estivesse errado, ele não teria chegado onde ele está hoje.",,,,,,,,,,,,,,,,,,circle,,,,,1.2351,4+
133,1.3,"1,3",2,Insuffisance,insuffisance,Surinterprétation,,1,1.0,7.0,,,Surinterprétation,17.0,Vous tirez des conclusions exagérées des éléments dont vous disposez.,69.0,"Il ment, puisqu'il rougit.",26.0,https://fr.wiktionary.org/wiki/surinterpr%C3%A9tation,Insufficiency,Overinterpretation,,Overinterpretation,18.0,,Drawing conclusions which exceed what available evidence permits.,65.0,He's lying because he blushes!,,30,https://en.wiktionary.org/wiki/overinterpretation,,,,,,недостаток,Домыслы,,Домыслы,"Вы делаете чрезмерные выводы из тех элементов, которые есть. ","Он врет, раз краснеет. ",,Insuficiência,Superinterpretação,,Superinterpretação,Você tira conclusões exageradas dos elementos que tem à disposição.,"Ele cora, portanto, ele está mentindo!",,,,,,,,,,,,,,LackOfCompleteKnowledge_Conflict,Sign_Inference,,skos:broadMatch,circle,démon qui lit (bof),,,,1.3,2
