"ObsoleteRef","Reason","Details"
"tests/unit/project_core/utils/test_file_utils.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\projets\SUIVI_PROJETS_ETUDIANTS.md"
"tests/test_specifique.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\standards_documentation.md"
"../../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../../tests/README.md","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"../../tests/conftest.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\current_state_analysis.md"
"tests/environment_checks/test_minimal_jpype.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\architecture\reorganization_proposal.md"
"tests/async_test_case.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/async_test_case.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/async_test_case.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/async_test_case.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/standalone_mock_tests.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/standalone_mock_tests.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/standalone_mock_tests.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/standalone_mock_tests.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_crypto_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_crypto_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_crypto_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_crypto_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_dependencies.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_dependencies.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/core/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_dependencies.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_dependencies.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_enhanced_complex_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_enhanced_complex_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_enhanced_complex_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\tests\README_TESTS_UNITAIRES.md"
"tests/test_enhanced_contextual_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_enhanced_contextual_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_enhanced_fallacy_severity_evaluator.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_enhanced_fallacy_severity_evaluator.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_error_recovery.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_error_recovery.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_error_recovery.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_error_recovery.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_extract_agent_adapter.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_extract_agent_adapter.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_extract_agent_adapter.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\tests\README_TESTS_UNITAIRES.md"
"tests/test_fallacy_analyzer.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_fallacy_analyzer.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_fallacy_analyzer.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_fallacy_analyzer.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/async_test_case.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/async_test_case.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/standalone_mock_tests.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/standalone_mock_tests.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_crypto_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_crypto_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_dependencies.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_dependencies.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_enhanced_complex_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_enhanced_complex_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_enhanced_complex_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\tests\README_TESTS_UNITAIRES.md"
"tests/test_enhanced_contextual_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_enhanced_contextual_fallacy_analyzer.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_enhanced_fallacy_severity_evaluator.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_enhanced_fallacy_severity_evaluator.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_error_recovery.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_error_recovery.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_extract_agent_adapter.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_extract_agent_adapter.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_extract_agent_adapter.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\tests\README_TESTS_UNITAIRES.md"
"tests/test_fallacy_analyzer.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_analysis_plan.md"
"tests/test_fallacy_analyzer.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\logique_definitions_par_defaut.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\_archives\mission_optimisation_tests\rapport_corrections_tests_finales.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_network_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_network_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot1_completion_report.md"
"tests/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_project_imports.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_agent_creation.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_agent_creation.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_agent.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_agent.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_analysis_methods.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_analysis_methods.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_definitions.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_definitions.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\tests\README_TESTS_UNITAIRES.md"
"tests/test_informal_definitions.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_definitions.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\tests\README_TESTS_UNITAIRES.md"
"tests/test_informal_error_handling.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_error_handling.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot7_analysis_plan.md"
"tests/test_informal_error_handling.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_informal_error_handling.py","Plusieurs fichiers de test trouvés","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot7_analysis_plan.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_installation.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\logique_definitions_par_defaut.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\_archives\mission_optimisation_tests\rapport_corrections_tests_finales.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\logique_definitions_par_defaut.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\_archives\mission_optimisation_tests\rapport_corrections_tests_finales.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\logique_definitions_par_defaut.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\reports\etat_depot_couverture_tests.md"
"tests/test_load_extract_definitions.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\_archives\mission_optimisation_tests\rapport_corrections_tests_finales.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
"tests/test_minimal.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_completion_report.md"
"tests/test_network_errors.py","Fichier de test non trouvé","Dans le fichier markdown : D:\2025-Epita-Intelligence-Symbolique-4\docs\cleaning_reports\lot2_analysis_plan.md"
